
вика - Скр: 138.8 | Точн: 100.0%
ника - Скр: 144.4 | Точн: 100.0%
саша - Скр: 100.0 | Точн: 100.0%
катя - Скр: 121.5 | Точн: 100.0%
даша - Скр: 10.0 | Точн: 6.8%
аня - Скр: 40.0 | Точн: 80.0%
алена - Скр: 25.7 | Точн: 100.0%
ника - Скр: 60.0 | Точн: 100.0%
даня - Скр: 37.5 | Точн: 100.0%
даша - Скр: 110.0 | Точн: 100.0%
катя - Скр: 0.0 | Точн: 0.0%
ника - Скр: 75.0 | Точн: 100.0%
йцукен - Скр: 121.7 | Точн: 98.6%
1234 - Скр: 80.5 | Точн: 100.0%
13 - Скр: 25.4 | Точн: 18.6%
